1,1,75.0,5.0,100.0,1.0,20,30,1
2,2,45.0,3.0,80.0,1.5,15,20,2
3,3,90.0,15.0,200.0,3.0,100,150,3
4,4,80.0,10.0,150.0,2.0,40,60,4
5,1,50.0,5.0,100.0,1.0,20,30,5
6,2,35.0,3.0,80.0,1.5,15,20,6
7,2,85.0,15.0,200.0,3.0,100,150,7
8,4,70.0,10.0,150.0,2.0,40,60,8
9,1,65.0,5.0,100.0,1.0,20,30,9
10,2,55.0,3.0,80.0,1.5,15,20,10
11,1,95.0,15.0,200.0,3.0,100,150,11
12,4,60.0,10.0,150.0,2.0,40,60,12
13,1,70.0,5.0,100.0,1.0,20,30,13
14,2,40.0,3.0,80.0,1.5,15,20,14
15,2,90.0,15.0,200.0,3.0,100,150,15
16,4,85.0,10.0,150.0,2.0,40,60,16
17,1,55.0,5.0,100.0,1.0,20,30,17
18,2,50.0,3.0,80.0,1.5,15,20,18
